California, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199512,46.4,3.3
199612,45.6,2.5
199712,42.4,-0.7
199812,42.0,-1.1
199912,45.3,2.2
200012,46.5,3.4
200112,42.8,-0.3
200212,44.0,0.9
200312,44.0,0.9
200412,44.6,1.5
200512,46.1,3.0
200612,43.9,0.8
200712,41.2,-1.9
200812,42.0,-1.1
200912,41.8,-1.3
201012,45.8,2.7
201112,42.8,-0.3
201212,43.0,-0.1
201312,44.1,1.0
201412,46.8,3.7
201512,42.3,-0.8
201612,43.4,0.3
201712,47.5,4.4
201812,44.8,1.7
201912,44.5,1.4
