California, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199509,71.2,2.7
199609,68.4,-0.1
199709,70.8,2.3
199809,69.2,0.7
199909,70.7,2.2
200009,69.1,0.6
200109,71.2,2.7
200209,70.9,2.4
200309,72.9,4.4
200409,69.4,0.9
200509,66.9,-1.6
200609,69.5,1.0
200709,67.5,-1.0
200809,71.8,3.3
200909,73.0,4.5
201009,70.4,1.9
201109,72.2,3.7
201209,73.1,4.6
201309,69.3,0.8
201409,72.2,3.7
201509,72.1,3.6
201609,69.5,1.0
201709,69.8,1.3
201809,71.1,2.6
201909,68.9,0.4
202009,74.2,5.7
