Colorado, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199510,45.8,-0.7
199610,46.0,-0.5
199710,45.9,-0.6
199810,47.0,0.5
199910,48.0,1.5
200010,47.4,0.9
200110,47.9,1.4
200210,43.2,-3.3
200310,51.5,5.0
200410,46.8,0.3
200510,48.3,1.8
200610,44.9,-1.6
200710,48.3,1.8
200810,47.6,1.1
200910,40.8,-5.7
201010,49.2,2.7
201110,47.1,0.6
201210,46.5,0.0
201310,44.2,-2.3
201410,49.9,3.4
201510,51.4,4.9
201610,51.8,5.3
201710,46.7,0.2
201810,45.0,-1.5
201910,40.9,-5.6
202010,47.3,0.8
