Florida, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199502,58.9,-0.5
199602,58.7,-0.7
199702,64.1,4.7
199802,60.0,0.6
199902,61.9,2.5
200002,60.5,1.1
200102,65.2,5.8
200202,59.5,0.1
200302,61.2,1.8
200402,59.3,-0.1
200502,60.8,1.4
200602,58.3,-1.1
200702,58.1,-1.3
200802,63.0,3.6
200902,57.3,-2.1
201002,52.6,-6.8
201102,61.8,2.4
201202,64.3,4.9
201302,61.8,2.4
201402,62.8,3.4
201502,56.5,-2.9
201602,59.4,0.0
201702,65.5,6.1
201802,69.2,9.8
201902,67.5,8.1
202002,63.5,4.1
