Florida, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199501,56.6,-1.2
199601,56.6,-1.2
199701,59.4,1.6
199801,60.5,2.7
199901,60.7,2.9
200001,58.4,0.6
200101,53.0,-4.8
200201,59.3,1.5
200301,52.2,-5.6
200401,56.8,-1.0
200501,60.0,2.2
200601,60.8,3.0
200701,61.3,3.5
200801,58.3,0.5
200901,57.2,-0.6
201001,52.5,-5.3
201101,54.9,-2.9
201201,59.3,1.5
201301,64.0,6.2
201401,54.5,-3.3
201501,58.6,0.8
201601,56.9,-0.9
201701,62.8,5.0
201801,55.0,-2.8
201901,58.3,0.5
202001,61.6,3.8
