Florida, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199510,75.0,2.7
199610,72.0,-0.3
199710,72.2,-0.1
199810,75.2,2.9
199910,73.2,0.9
200010,70.9,-1.4
200110,71.6,-0.7
200210,76.2,3.9
200310,73.5,1.2
200410,74.5,2.2
200510,73.6,1.3
200610,72.1,-0.2
200710,76.2,3.9
200810,71.4,-0.9
200910,75.3,3.0
201010,72.1,-0.2
201110,70.5,-1.8
201210,73.2,0.9
201310,74.0,1.7
201410,72.7,0.4
201510,74.4,2.1
201610,74.6,2.3
201710,74.9,2.6
201810,76.5,4.2
201910,77.8,5.5
202010,77.2,4.9
