Maryland, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199505,61.9,-0.4
199605,60.4,-1.9
199705,59.1,-3.2
199805,65.3,3.0
199905,63.2,0.9
200005,64.9,2.6
200105,62.6,0.3
200205,62.0,-0.3
200305,59.7,-2.6
200405,69.3,7.0
200505,58.7,-3.6
200605,62.1,-0.2
200705,64.6,2.3
200805,60.4,-1.9
200905,63.4,1.1
201005,65.7,3.4
201105,65.8,3.5
201205,67.7,5.4
201305,62.8,0.5
201405,64.2,1.9
201505,67.6,5.3
201605,60.9,-1.4
201705,62.2,-0.1
201805,68.8,6.5
201905,67.3,5.0
202005,60.5,-1.8
