Massachusetts, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199506,65.8,1.4
199606,66.0,1.6
199706,65.3,0.9
199806,64.2,-0.2
199906,68.1,3.7
200006,65.1,0.7
200106,67.5,3.1
200206,64.0,-0.4
200306,64.0,-0.4
200406,63.7,-0.7
200506,68.2,3.8
200606,66.4,2.0
200706,65.6,1.2
200806,67.4,3.0
200906,62.8,-1.6
201006,67.6,3.2
201106,65.2,0.8
201206,65.0,0.6
201306,67.0,2.6
201406,65.9,1.5
201506,63.6,-0.8
201606,66.1,1.7
201706,66.0,1.6
201806,64.8,0.4
201906,65.5,1.1
202006,67.5,3.1
