Massachusetts, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199511,36.9,-2.3
199611,36.2,-3.0
199711,37.6,-1.6
199811,40.3,1.1
199911,44.8,5.6
200011,40.0,0.8
200111,44.4,5.2
200211,39.0,-0.2
200311,42.8,3.6
200411,40.6,1.4
200511,42.2,3.0
200611,45.8,6.6
200711,38.7,-0.5
200811,39.9,0.7
200911,45.3,6.1
201011,41.0,1.8
201111,45.4,6.2
201211,39.2,0.0
201311,38.8,-0.4
201411,38.8,-0.4
201511,44.7,5.5
201611,42.2,3.0
201711,40.3,1.1
201811,37.8,-1.4
201911,37.5,-1.7
