Massachusetts, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199510,53.6,3.6
199610,49.5,-0.5
199710,48.6,-1.4
199810,51.1,1.1
199910,48.9,-1.1
200010,50.2,0.2
200110,51.9,1.9
200210,48.4,-1.6
200310,48.6,-1.4
200410,50.0,0.0
200510,52.1,2.1
200610,50.0,0.0
200710,56.0,6.0
200810,49.1,-0.9
200910,48.4,-1.6
201010,51.5,1.5
201110,52.6,2.6
201210,53.5,3.5
201310,51.8,1.8
201410,53.3,3.3
201510,50.1,0.1
201610,52.2,2.2
201710,57.5,7.5
201810,50.3,0.3
201910,52.5,2.5
202010,52.5,2.5
