Washington, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199504,44.7,-0.4
199604,46.0,0.9
199704,43.6,-1.5
199804,46.0,0.9
199904,43.7,-1.4
200004,47.8,2.7
200104,43.5,-1.6
200204,44.7,-0.4
200304,44.6,-0.5
200404,48.6,3.5
200504,46.3,1.2
200604,45.7,0.6
200704,44.9,-0.2
200804,40.8,-4.3
200904,44.1,-1.0
201004,44.6,-0.5
201104,40.2,-4.9
201204,46.0,0.9
201304,44.7,-0.4
201404,45.8,0.7
201504,45.7,0.6
201604,51.6,6.5
201704,44.2,-0.9
201804,45.3,0.2
201904,46.3,1.2
202004,46.0,0.9
