Washington, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199507,64.7,0.6
199607,66.6,2.5
199707,63.2,-0.9
199807,69.0,4.9
199907,62.0,-2.1
200007,63.5,-0.6
200107,63.4,-0.7
200207,66.1,2.0
200307,67.5,3.4
200407,67.3,3.2
200507,65.0,0.9
200607,67.5,3.4
200707,68.1,4.0
200807,64.4,0.3
200907,67.5,3.4
201007,64.2,0.1
201107,61.0,-3.1
201207,65.2,1.1
201307,67.2,3.1
201407,68.6,4.5
201507,68.6,4.5
201607,63.6,-0.5
201707,67.1,3.0
201807,67.5,3.4
201907,63.8,-0.3
202007,64.8,0.7
